user_login,id,ref,creds,user_id,membership_level,user_name
xiaofufeng2,2,logging_in,10,2,3,xiaofufeng2
xiaofufeng2,2,view_content,5,2,3,xiaofufeng2
xiaofufeng2,2,view_content,5,2,3,xiaofufeng2
xiaofufeng2,2,view_content,5,2,3,xiaofufeng2
xiaofufeng2,2,view_content,5,2,3,xiaofufeng2
xiaofufeng2,2,view_content,5,2,3,xiaofufeng2
xiaofufeng2,2,view_content,5,2,3,xiaofufeng2
xiaofufeng2,2,view_content,5,2,3,xiaofufeng2
xiaofufeng3,3,logging_in,10,3,4,xiaofufeng3
xiaofufeng3,3,view_content,5,3,4,xiaofufeng3
xiaofufeng3,3,view_content,5,3,4,xiaofufeng3
xiaofufeng2,2,view_content_author,1,2,3,xiaofufeng2
xiaofufeng3,3,view_content,5,3,4,xiaofufeng3
xiaofufeng2,2,view_content_author,1,2,3,xiaofufeng2
xiaofufeng3,3,view_content,5,3,4,xiaofufeng3
xiaofufeng3,3,view_content,5,3,4,xiaofufeng3
xiaofufeng2,2,view_content_author,1,2,3,xiaofufeng2
xiaofufeng3,3,view_content,5,3,4,xiaofufeng3
xiaofufeng3,3,view_content,5,3,4,xiaofufeng3
xiaofufeng2,2,view_content_author,1,2,3,xiaofufeng2
xiaofufeng3,3,view_content,5,3,4,xiaofufeng3
xiaofufeng3,3,view_content,5,3,4,xiaofufeng3
